 sa2_name16, sa2_code16
Melbourne,206041122
Prahran - Windsor,206061136
Collingwood,206071141
Hadfield,210031440
Sunbury,210041240
Sunbury - South,210041241
Fitzroy,206071142
Hughesdale,208021180
Point Cook - South,213051466
Blackburn South,207031162
Surrey Hills (East) - Mont Albert,207031167
Brighton East,208011170
Hampton,208011172
Cheltenham - Highett (West),208011171
Brunswick,206011105
Brunswick East,206011106
Pascoe Vale South,206011109
Docklands,206041118
East Melbourne,206041119
Bentleigh - McKinnon,208021174
Flemington Racecourse,206041120
Aspendale Gardens - Waterways,208031183
South Yarra - West,206041125
Southbank,206041126
Bentleigh East (South),208021427
Armadale,206061135
Murrumbeena,208021181
Braeside,208031184
Carnegie,208021176
Chelsea Heights,208031187
Burwood East,207031166
Coburg,206011108
Brunswick West,206011107
Alphington - Fairfield,206021110
Hawthorn East,207011152
Ormond - Glen Huntly,208021182
Northcote,206021111
West Melbourne,206041127
Thornbury,206021112
Port Melbourne,206051130
Ascot Vale,206031113
Essendon - Aberfeldie,206031114
Flemington,206031115
Kensington (Vic.),206041121
Moonee Ponds,206031116
Carlton,206041117
North Melbourne,206041123
Parkville,206041124
Albert Park,206051128
Elwood,206051129
Port Melbourne Industrial,206051131
South Melbourne,206051132
St Kilda,206051133
St Kilda East,206051134
South Yarra - East,206061137
Toorak,206061138
Abbotsford,206071139
Carlton North - Princes Hill,206071140
Fitzroy North,206071143
Richmond (Vic.),206071144
Yarra - North,206071145
Camberwell,207011149
Ashburton (Vic.),207011146
Balwyn,207011147
Balwyn North,207011148
Kew,207011153
Glen Iris - East,207011150
Hawthorn,207011151
Bentleigh East (North),208021426
Kew East,207011154
Sydenham,213011339
Surrey Hills (West) - Canterbury,207011155
Bulleen,207021156
Doncaster,207021157
Templestowe,207021159
Cheltenham - Highett (East),208031188
Templestowe Lower,207021160
Burwood,207031165
Doncaster East (North),207021424
Doncaster East (South),207021425
Blackburn,207031161
Box Hill,207031163
Caulfield - North,208021177
Box Hill North,207031164
Beaumaris,208011168
Caulfield - South,208021178
Brighton (Vic.),208011169
Elsternwick,208021179
Sandringham - Black Rock,208011173
Carrum - Patterson Lakes,208031185
Chelsea - Bonbeach,208031186
Mentone,208031190
Bundoora - East,209011196
Edithvale - Aspendale,208031189
Cranbourne North,212031302
Moorabbin - Heatherton,208031191
Moorabbin Airport,208031192
Greensborough,209011197
Watsonia,209011204
Mordialloc - Parkdale,208031193
Kingsbury,209021205
Reservoir - East,209021207
Reservoir - West,209021208
Essendon Airport,210011227
Malvern - Glen Iris,208041194
Cranbourne South,212031303
Preston - West,209021429
Heidelberg - Rosanna,209011198
Malvern East,208041195
Eltham,209031209
Hurstbridge,209031210
Kinglake,209031211
Panton Hill - St Andrews,209031212
Plenty - Yarrambat,209031213
Research - North Warrandyte,209031214
Bundoora - West,209041217
Lalor,209041219
Airport West,210011226
Coburg North,210031236
Heidelberg West,209011199
Ivanhoe,209011200
Cranbourne East,212031301
Fawkner,210031237
Ivanhoe East - Eaglemont,209011201
Montmorency - Briar Hill,209011202
Viewbank - Yallambie,209011203
Wantirna South,211011260
Preston - East,209021428
Wattle Glen - Diamond Creek,209031215
Epping - East,209041431
Epping - South,209041432
Ringwood,211031266
Bundoora - North,209041216
Epping - West,209041433
Mernda,209041434
South Morang (North),209041435
Mill Park - North,209041220
Mill Park - South,209041221
Cranbourne West,212031304
Thomastown,209041223
Wallan,209041224
Whittlesea,209041225
Doreen,209041430
South Morang (South),209041436
Wollert,209041437
Keilor,210011228
Keilor East,210011229
Niddrie - Essendon West,210011230
Strathmore,210011231
Gisborne,210021232
Cranbourne,212031300
Macedon,210021233
Riddells Creek,210021234
Romsey,210021235
Glenroy,210031438
Forest Hill,211041269
Mitcham (Vic.),211041270
Pascoe Vale,210031239
Gowanbrae,210031439
Broadmeadows,210051242
Meadow Heights,210051247
Melbourne Airport,210051248
Campbellfield - Coolaroo,210051243
Gladstone Park - Westmeadows,210051245
Greenvale - Bulla,210051246
Croydon South,211031452
Roxburgh Park - Somerton,210051249
Tullamarine,210051250
Craigieburn - Central,210051441
Craigieburn - North,210051442
Craigieburn - West,210051444
Mickleham - Yuroke,210051445
Bayswater,211011251
Knoxfield - Scoresby,211011254
Craigieburn - South,210051443
Lysterfield,211011255
Rowville - North,211011257
Rowville - South,211011258
Wantirna,211011259
Rowville - Central,211011256
Boronia,211011446
Ferntree Gully (North),211011447
Croydon Hills - Warranwood,211031265
Ferntree Gully (South) - Upper Ferntree Gully,211011448
Ringwood East,211031267
Ringwood North,211031268
The Basin,211011449
Donvale - Park Orchards,211021261
Warrandyte - Wonga Park,211021262
Croydon - East,211031450
Croydon - West,211031451
Bayswater North,211031263
Vermont,211041272
Vermont South,211041273
Nunawading,211041271
Belgrave - Selby,211051274
Chirnside Park,211051275
Healesville - Yarra Glen,211051276
Kilsyth,211051277
Lilydale - Coldstream,211051278
Monbulk - Silvan,211051279
Montrose,211051280
Mooroolbark,211051281
Mount Dandenong - Olinda,211051282
Pakenham - North,212011291
Mount Evelyn,211051283
Endeavour Hills - South,212021454
Lynbrook - Lyndhurst,212031306
Pearcedale - Tooradin,212031308
Upwey - Tecoma,211051284
Wandin - Seville,211051285
Yarra Valley,211051286
Beaconsfield - Officer,212011287
Bunyip - Garfield,212011288
Emerald - Cockatoo,212011289
Koo Wee Rup,212011290
Pakenham - South,212011292
Berwick - North,212021293
Berwick - South,212021294
Doveton,212021295
Hallam,212021297
Narre Warren North,212021299
Endeavour Hills - North,212021453
Narre Warren - North East,212021455
Narre Warren - South West,212021456
Hampton Park - Lynbrook,212031305
Narre Warren South (East),212031457
Narre Warren South (West),212031458
Clarinda - Oakleigh South,212041309
Clayton South,212041310
Dandenong,212041311
Dandenong North,212041312
Dingley Village,212041313
Noble Park - East,212041459
Keysborough,212041314
Noble Park North,212041316
Springvale,212041317
Springvale South,212041318
Noble Park - West,212041460
Ashwood - Chadstone,212051319
Clayton,212051320
Glen Waverley - East,212051321
Glen Waverley - West,212051322
Mount Waverley - North,212051323
Mount Waverley - South,212051324
Mulgrave,212051325
Oakleigh - Huntingdale,212051326
Wheelers Hill,212051327
Ardeer - Albion,213011328
Cairnlea,213011329
Keilor Downs,213011332
Deer Park - Derrimut,213011330
Delahey,213011331
Kings Park (Vic.),213011333
St Albans - North,213011334
Altona North,213021343
St Albans - South,213011335
Sunshine North,213011337
Sunshine,213011336
Sunshine West,213011338
Taylors Lakes,213011340
Altona,213021341
Altona Meadows,213021342
Newport,213021344
Seabrook,213021345
Williamstown,213021346
West Footscray - Tottenham,213031351
Braybrook,213031347
Footscray,213031348
Maribyrnong,213031349
Seddon - Kingsville,213031350
Yarraville,213031352
Bacchus Marsh,213041353
Hillside,213041355
Melton,213041356
Melton South,213041357
Melton West,213041358
Rockbank - Mount Cottrell,213041359
Taylors Hill,213041360
Burnside,213041461
Hoppers Crossing - South,213051362
Burnside Heights,213041462
Caroline Springs,213041463
Laverton,213051363
Tarneit,213051365
Truganina,213051366
Werribee - South,213051368
Wyndham Vale,213051369
Point Cook - East,213051464
Hoppers Crossing - North,213051361
Point Cook - North,213051465
Werribee - East,213051467
Werribee - West,213051468
Carrum Downs,214011370
Frankston,214011371
Frankston North,214011372
Frankston South,214011373
Langwarrin,214011374
Seaford (Vic.),214011375
Skye - Sandhurst,214011376
Dromana,214021377
Flinders,214021378
Hastings - Somers,214021379
Mornington,214021380
Mount Eliza,214021381
Mount Martha,214021382
Point Nepean,214021383
Rosebud - McCrae,214021384
Somerville,214021385
